CODIGO_FP,DN_FP,CODIGO_AREA,DN_AREA
ADG,Administración y gestión,ADGA,Administración / gestión 
ADG,Administración y gestión,ADGC,Consultoría empresarial 
ADG,Administración y gestión,ADGD,Administración y auditoría 
ADG,Administración y gestión,ADGE,"Gestión de recursos, consultoría y estudios técnicos "
ADG,Administración y gestión,ADGF,Finanzas 
ADG,Administración y gestión,ADGG,Gestión de la información y comunicación 
ADG,Administración y gestión,ADGI,Información / comunicación 
ADG,Administración y gestión,ADGN,Finanzas y seguros 
ADG,Administración y gestión,ADGS,Seguros 
ADG,Administración y gestión,ADGX,Especialidades sin área definida (administración y oficinas) 
ADG,Administración y gestión,ADGY,Especialidades sin área definida (seguros y finanzas) 
ADG,Administración y gestión,ADGZ,Área para centros especializados 
AFD,Actividades físicas y deportivas,AFDA,Actividades físico deportivas recreativas 
AFD,Actividades físicas y deportivas,AFDB,Actividades deportivas de bienestar físico 
AFD,Actividades físicas y deportivas,AFDD,Deporte profesional y de alto rendimiento 
AFD,Actividades físicas y deportivas,AFDP,Prevención y recuperación 
AGA,Agraria,AGAA,Agroturismo 
AGA,Agraria,AGAC,Cultivos extensivos 
AGA,Agraria,AGAE,Explotación forestal 
AGA,Agraria,AGAF,Fruticultura 
AGA,Agraria,AGAG,Ganaderías menores 
AGA,Agraria,AGAH,Horticultura 
AGA,Agraria,AGAJ,Jardinería 
AGA,Agraria,AGAM,Mecanización agraria 
AGA,Agraria,AGAN,Ganadería 
AGA,Agraria,AGAO,Ornamentales y jardinería 
AGA,Agraria,AGAP,Explotación de ganado porcino 
AGA,Agraria,AGAQ,Explotación de ganado equino 
AGA,Agraria,AGAR,Forestal 
AGA,Agraria,AGAT,Tabaco 
AGA,Agraria,AGAU,Agricultura 
AGA,Agraria,AGAV,"Explotación de ganado vacuno, ovino y caprino "
AGA,Agraria,AGAX,Especialidades sin área definida (agraria) 
ARG,Artes gráficas,ARGA,Actividades y técnicas gráficas artísticas 
ARG,Artes gráficas,ARGC,Encuadernación industrial 
ARG,Artes gráficas,ARGD,Diseño 
ARG,Artes gráficas,ARGE,Editorial 
ARG,Artes gráficas,ARGG,Diseño gráfico y multimedia 
ARG,Artes gráficas,ARGI,Impresión 
ARG,Artes gráficas,ARGM,Post-impresión / manipulados 
ARG,Artes gráficas,ARGN,Edición 
ARG,Artes gráficas,ARGP,Pre-impresión 
ARG,Artes gráficas,ARGS,Post-impresión 
ARG,Artes gráficas,ARGT,Transformación y conversión en industrias gráficas 
ARG,Artes gráficas,ARGX,Especialidades sin área definida (industrias gráficas) 
ART,Artes y artesanías,ARTA,Artesanía tradicional 
ART,Artes y artesanías,ARTB,Joyería y orfebrería 
ART,Artes y artesanías,ARTC,Cerámica 
ART,Artes y artesanías,ARTD,Piedra y mármol 
ART,Artes y artesanías,ARTE,Metal 
ART,Artes y artesanías,ARTF,Fibras vegetales 
ART,Artes y artesanías,ARTG,Fabricación y mantenimiento de instrumentos musicales 
ART,Artes y artesanías,ARTI,Instrumentos musicales 
ART,Artes y artesanías,ARTJ,Joyería y bisutería 
ART,Artes y artesanías,ARTL,Piel y cuero 
ART,Artes y artesanías,ARTM,Madera 
ART,Artes y artesanías,ARTN,Vidrio y cerámica artesanal 
ART,Artes y artesanías,ARTO,Orfebrería 
ART,Artes y artesanías,ARTP,Papel y cartón 
ART,Artes y artesanías,ARTQ,Maquetería 
ART,Artes y artesanías,ARTR,"Recuperación, reparación y mantenimiento artísticos "
ART,Artes y artesanías,ARTS,Varios 
ART,Artes y artesanías,ARTT,Textil 
ART,Artes y artesanías,ARTU,Artes escénicas 
ART,Artes y artesanías,ARTV,Vidrio 
ART,Artes y artesanías,ARTX,Especialidades sin área definida (artesanía) 
COM,Comercio y márketing,COMA,Almacenaje 
COM,Comercio y márketing,COMC,Atención al cliente 
COM,Comercio y márketing,COMD,Dirección / gestión 
COM,Comercio y márketing,COME,Comercio exterior 
COM,Comercio y márketing,COMF,Facturación / cobro 
COM,Comercio y márketing,COML,Logística comercial y gestión del transporte 
COM,Comercio y márketing,COMM,Marketing y relaciones públicas 
COM,Comercio y márketing,COMP,Publicidad / imagen 
COM,Comercio y márketing,COMT,Compraventa 
COM,Comercio y márketing,COMV,Venta 
COM,Comercio y márketing,COMX,Especialidades sin área definida (comercio) 
COM,Comercio y márketing,COMZ,Área para centros especializados 
ELE,Electricidad y electrónica,ELEA,Electricidad 
ELE,Electricidad y electrónica,ELEC,Electrónica 
ELE,Electricidad y electrónica,ELEE,Instalaciones eléctricas 
ELE,Electricidad y electrónica,ELEI,Instalaciones de comunicaciones 
ELE,Electricidad y electrónica,ELEL,Electricidad 
ELE,Electricidad y electrónica,ELEM,Máquinas electromecánicas 
ELE,Electricidad y electrónica,ELEN,Electrónica 
ELE,Electricidad y electrónica,ELEQ,Equipos electrónicos 
ELE,Electricidad y electrónica,ELER,Electricidad 
ELE,Electricidad y electrónica,ELES,Instalaciones de telecomunicación 
ELE,Electricidad y electrónica,ELET,Electrónica 
ENA,Energía y agua,ENAA,Agua 
ENA,Energía y agua,ENAC,Eficiencia energética 
ENA,Energía y agua,ENAD,Distribución de energía eléctrica 
ENA,Energía y agua,ENAE,Energías renovables 
ENA,Energía y agua,ENAF,Transformación de energía eléctrica 
ENA,Energía y agua,ENAG,Tratamiento y distribución de gas 
ENA,Energía y agua,ENAL,Energía eléctrica 
ENA,Energía y agua,ENAP,Producción de energía eléctrica 
ENA,Energía y agua,ENAS,Gas 
ENA,Energía y agua,ENAT,"Captación, tratamiento y distribución de agua "
ENA,Energía y agua,ENAX,"Especialidades sin área definida (producción, transformación y distribución de energía y agua) "
EOC,Edificación y obra civil,EOCA,Acabados 
EOC,Edificación y obra civil,EOCB,Albañilería y acabados 
EOC,Edificación y obra civil,EOCC,Cantería y piedra artificial 
EOC,Edificación y obra civil,EOCE,Estructuras 
EOC,Edificación y obra civil,EOCH,Hormigón 
EOC,Edificación y obra civil,EOCI,Instalaciones y aislamientos 
EOC,Edificación y obra civil,EOCJ,Colocación y montaje 
EOC,Edificación y obra civil,EOCL,Albañilería 
EOC,Edificación y obra civil,EOCM,Maquinaria 
EOC,Edificación y obra civil,EOCO,Proyectos y seguimiento de obras 
EOC,Edificación y obra civil,EOCP,Plantas de fabricación 
EOC,Edificación y obra civil,EOCQ,Maquinaria de construcción 
EOC,Edificación y obra civil,EOCT,Técnicas auxiliares 
EOC,Edificación y obra civil,EOCV,Perforaciones y voladuras 
EOC,Edificación y obra civil,EOCX,Especialidades sin área definida (edificación y obras públicas) 
FCO,Formación complementaria,FCOA,Aspectos medioambientales 
FCO,Formación complementaria,FCOC,Colectivos desfavorecidos 
FCO,Formación complementaria,FCOE,Lenguas extranjeras 
FCO,Formación complementaria,FCOI,Informática complementaria 
FCO,Formación complementaria,FCOL,Lenguas y dialectos españoles 
FCO,Formación complementaria,FCOM,Manipulación alimentaria 
FCO,Formación complementaria,FCOO,Orientación laboral 
FCO,Formación complementaria,FCOS,Seguridad y salud laboral 
FCO,Formación complementaria,FCOV,Competencia clave 
FME,Fabricación mecánica,FMEA,Construcciones aeronáuticas 
FME,Fabricación mecánica,FMEB,Abrasivos 
FME,Fabricación mecánica,FMEC,Construcciones metálicas 
FME,Fabricación mecánica,FMED,Artículos diversos 
FME,Fabricación mecánica,FMEE,Fabricación electromecánica 
FME,Fabricación mecánica,FMEF,Fundición 
FME,Fabricación mecánica,FMEG,Metalurgia 
FME,Fabricación mecánica,FMEH,Operaciones mecánicas 
FME,Fabricación mecánica,FMEI,Artículos diversos de fabricación mecánica 
FME,Fabricación mecánica,FMEJ,Juguetes 
FME,Fabricación mecánica,FMEL,Construcciones metálicas 
FME,Fabricación mecánica,FMEM,Producción mecánica 
FME,Fabricación mecánica,FMES,Construcciones metálicas y soldadura 
FME,Fabricación mecánica,FMEV,Especialidades sin área definida (industrias de fabricación de equipos electromecánicos) 
FME,Fabricación mecánica,FMEW,Área para centros especializados 
FME,Fabricación mecánica,FMEX,Especialidades sin área definida (industria pesada y construcciones metálicas) 
FME,Fabricación mecánica,FMEY,Especialidades sin área definida (industrias manufactureras diversas) 
FME,Fabricación mecánica,FMEZ,Área para centros especializados 
HOT,Hostelería y turismo,HOTA,Alojamiento 
HOT,Hostelería y turismo,HOTF,Ferias y congresos 
HOT,Hostelería y turismo,HOTG,Agencias de viaje 
HOT,Hostelería y turismo,HOTI,"Información, promoción y desarrollo turístico "
HOT,Hostelería y turismo,HOTJ,Juegos de azar 
HOT,Hostelería y turismo,HOTN,Animación 
HOT,Hostelería y turismo,HOTR,Restauración 
HOT,Hostelería y turismo,HOTT,Turismo 
HOT,Hostelería y turismo,HOTU,Agroturismo 
HOT,Hostelería y turismo,HOTX,Especialidades sin área definida (turismo y hostelería) 
IEX,Industrias extractivas,IEXD,Piedra natural 
IEX,Industrias extractivas,IEXE,Extracción de minerales 
IEX,Industrias extractivas,IEXH,Primera transformación del hierro y del carbón 
IEX,Industrias extractivas,IEXM,Minería 
IEX,Industrias extractivas,IEXP,Primera transformación de minerales no férreos 
IEX,Industrias extractivas,IEXT,Tratamiento de minerales 
IEX,Industrias extractivas,IEXX,Especialidades sin área definida (minería y primeras transformaciones) 
IEX,Industrias extractivas,IEXZ,Área especial para centros especializados 
IFC,Informática y comunicaciones,IFCC,Sistemas de comunicación 
IFC,Informática y comunicaciones,IFCD,Desarrollo 
IFC,Informática y comunicaciones,IFCI,Informática 
IFC,Informática y comunicaciones,IFCM,Comunicaciones 
IFC,Informática y comunicaciones,IFCP,Desarrollo de proyectos software 
IFC,Informática y comunicaciones,IFCS,Servicios de telecomunicaciones 
IFC,Informática y comunicaciones,IFCT,Sistemas y telemática 
IFC,Informática y comunicaciones,IFCX,Especialidades sin área definida (servicios a las empresas) 
