DENOMINACION_AF,CODIGO_FP,D_CONTENIDOS,D_OBJETIVOS,CODIGO_AREA_TRAD,Languagereveiw
FORMACION MODIFICACION DEL RCF,Formación complementaria,establec oper restablec bloque telefon situacion anormal banaliz temporal via entreg via bloqu coordin respons circul puntualiz prescripcion circul situacion degrad consign libr telefonem,Dar a conocer el contenido más significativo del modificado al  Reglamento de Circulación Ferroviaria con el fin de aplicarlos en el  desarrollo de las funciones asignadas en materia de seguridad a los  asistentes.,Competencia clave,es
INGLÉS TÉCNICO-MARÍTMO DE ESTIBA,Formación complementaria,concept elemental gramat salud expresion social english nomenclatur part principal buqu carg funcion personal buqu estibarn util accesori oper estib desestib estib manipul mercanc convers inicial oper portuari realiz convers dialog flu r oficial buqu trabaj cubiert bodeg vocabulari ingles general esencial desenvolv oralment situacion comunic dentr puert oficin comun aver accident etc,"- Difundir la lengua inglesa como herramienta importante de comunicación en el sector de la estiba, tanto a nivel convencional como a nivel técnico.",Lenguas extranjeras,es
CAP FORMACION CONTINUA MERCANCIAS / VIAJEROS,Transporte y mantenimiento de vehículos,bloqu i conduccion racional bas norm segur conoc vehicul curv par b potenci consum especif motor c zon utiliz optim cuentarrevolu d diagram cobertur relacion caj cambi veloc manten mecan basic f neumat g fren h limit utiliz fren ralentiz i seleccion mejor combin veloc relacion transmision j utiliz inerci vehicul k utiliz medi ralentiz fren baj l accion deb adopt cas fall m optimiz consum carbur mediant tecnic indic punt anterior bloqu ii aplic reglament n tacograf duracion maxim jorn laboral sector transport p principi aplic consecuent reglament cee ce q sancion cas utiliz r mal utiliz manipul fraudulent tacograf s conoc entorn social transport carreter t derech oblig conductor materi cualif inicial formacion continu bloqu iii salud segur vial medioambiental servici logist tipolog accident trabaj sector transport import cumplimient norm trafic segur vial b alumbr señaliz optic c magnitud problem accident trafic d estadist accident circul implic vehicul pes f dinam impact consecuent human material econom accident g grup riesg h factor riesg veloc alcohol drog toxic enfermedad farmac sueñ fatig estres i conduccion prevent j conduccion condicion advers k contamin accident l conduccion tare tom decision m actitud capac basic conduccion segur n fisic conductor principi aliment san equilibr p efect alcohol medicament cualqui sustanci pued modific comport q sintom caus efect fatig estres r papel fundamental cicl basic actividadrep s segur activ pasiv t comport situacion emergent actuacion cas accident trafic u intervencion sensibiliz educ vial formacion individualiz v norm trafic segur vial debat grupal dinam grup w evalu situacion x prevencion agrav accident avis servici socorr z auxili her aplic primer socorr aa reaccion cas incendi bb evacu ocup vehicul cc reaccion cas agresion dd principi basic declar amist accident,"Conocer las características de la cadena cinemática para optimizar su utilización.  Conocer las características técnicas y el funcionamiento de los dispositivos de seguridad a fin de dominar el vehículo, minimizar su desgaste y prevenir las anomalías de funcionamiento.   Poder optimizar el consumo de carburante.  Conocer el entorno social del transporte por carretera y su reglamentación.  Tener conciencia de los riesgos de la carretera y los accidentes de trabajo.  Tener conciencia de la importancia de la aptitud física y mental.  Tener capacidad para evaluar situaciones de emergencia.",Conducción de vehículos por carretera,es
ALERGIAS E INTOLERANCIAS ALIMENTARIAS,Industrias alimentarias,tem alergi intoler alimentari alergi intoler caus alergi intoler alimentari tip alergi intoler alimentari calid vid consider alerg alimentari tem tip alergen med prevent tem plan prevencion riesg alergi alimentari gestion materi prim gestion instal equip gestion alergen superfici product referent contien alergen tem control riesg alergen part sector aliment sistem analisis peligr punt control critic appcc etiquet tem legisl aplic normat oblig cumplimient,"La creciente preocupación de la sociedad y de las autoridades sanitarias por el aumento de casos de intolerancias y alergias a determinados alimentos, ha derivado en el desarrollo de diversas normativas y legislaciones que tiene como finalidad la protección de la salud de todas aquellas personas con necesidades de control en el consumo de ciertos alimentos. Por esta razón, con el presente curso de gestión de alérgenos en la industria alimentaria, se capacita al personal del mundo de la industria alimentaria a aplicar todas las medidas y planes de prevención y control de alérgenos en los alimentos, cumpliendo con lo estipulado en el nuevo reglamento Europeo 1169/2011 sobre la información alimentaria facilitada al consumidor en la que se establece la obligatoriedad de comunicar la presencia de alérgenos en los alimentos no envasados destinados a la venta.",Alimentos diversos,es
EXECUTIVE HOUSEKEEPING MANAGER,Hostelería y turismo,modul i regiduri pis gobernant hotel hras modul ii english for housekeeping hras modul iii tecnic limpiez hras modul ivtecn calid atencion client hras modul v prevencion riesg pis hras,Dar toda la formación y habilidades necesarias a las personas que trabajan en pisos para poder gestionar de una manera eficaz su trabajo,Alojamiento,pt
PRL PARA OPERADORES EN PUENTE-GRUA,Seguridad y medio ambiente,concept basic segur salud riesg general prevencion prevencion oper puent gru element basic gestion prevencion primer auxili,"Este curso permite adquirir los conocimientos necesarios de nivel básico de Prevención de Riesgos Laborales. Incluye además una parte de temario específico en función del Sector Profesional en que se encuadra la actividad laboral que desempeña el alumno. Se pretende consolidar y mejorar los conocimientos sobre prevención aplicadas a las tareas cotidianas en el puesto de trabajo. El Real Decrero 39/1997, de 17 de enero, por el que se aprueba el Reglamento de los Servicios de Prevención, publicado en el BOE nº 27 de 31 de enero de 1997, establece que las funciones que integran el nivel básico de la actividad preventiva son las siguientes:  Promover los comportamientos seguros y la correcta utilización de los equipos de trabajo y protección, y fomentar el interés y cooperación de los trabajadores en una acción preventiva integrada.  Promover, en particular, las actuaciones preventivas básicas, tales como el orden, la limpieza, la señalización y el mantenimiento general, y efectuar su seguimiento y control.  Realizar evaluaciones elementales de riesgos y, en su caso, establecer medidas preventivas del mismo carácter compatibles con su grado de formación.  Colaborar en la evaluación y el control de los riesgos generales y específicos de la empresa, efectuando visitas al efecto, atención a quejas y sugerencias, registro de datos, y cuantas funciones análogas sean necesarias.  Actuar en caso de emergencia y primeros auxilios gestionando las primeras intervenciones al efecto.  Cooperar con los servicios de prevención, en su caso.",Seguridad y prevención,es
WORD 2013,Informática y comunicaciones,entorn trabaj tar basic edicion document format text format parraf format avanz parraf tabl format pagin diseñ document vist document ortograf gramat imagen form wordart smartart grafic dat combin correspondent hipervincul modif preferent integr offic practic word,"Los objetivos que se persiguen en el curso son el uso de la herramienta Word 2013 desde un enfoque multinivel. Aprende todo sobre el editor de textos más famoso y utilizado. Microsoft ha dado un nuevo enfoque del software para incrementar la productividad, por ello, hemos cambiado la metodología didáctica (con respecto a cursos anteriores) con prácticas incluidas en el temario. Además, contamos con numerosas prácticas paso a paso, así como explicaciones audiovisuales y cuestionarios. Si deseas manejar Word a nivel profesional éste es tu curso.",Sistemas y telemática,es
WORD 2013 INICIAL MEDIO,Informática y comunicaciones,entorn trabaj tar basic edicion document format text format parraf format avanz parraf tabl column format pagin diseñ document practic word,"Este programa nos facilitar crear, compartir y leer documentos desde el más simple al documento de apariencia profesional más compleja. La intención de este curso es iniciarse en Word 2013 en las herramientas imprescindibles para empezar a utilizarlo. Además son numerosas las prácticas paso a paso, así como las explicaciones audiovisuales y los cuestionarios.",Sistemas y telemática,es
PRL PRIMEROS AUXILIOS,Servicios socioculturales y a la comunidad,entorn trabaj tar basic edicion document format text format parraf format avanz parraf tabl column format pagin diseñ document practic word,"Este programa nos facilitar crear, compartir y leer documentos desde el más simple al documento de apariencia profesional más compleja. La intención de este curso es iniciarse en Word 2013 en las herramientas imprescindibles para empezar a utilizarlo. Además son numerosas las prácticas paso a paso, así como las explicaciones audiovisuales y los cuestionarios.",Atención social,es
IMPLANTACIÓN DE NUEVAS METODOLOGÍAS DE ENSEÑANAZA SEGUNDA PARTE,Servicios socioculturales y a la comunidad,teor inteligent multipl aplic aul aprendizaj cooper aprendizaj bas proyect,Dotar a los docentes de nuevas herramientas metodológicas para que utilicen el aula,Formación y educación,es
